created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Nov 07 05:04:48 +0000 2023;1,72176E+18;@Koriandri @aniesbaswedan @mohmahfudmd Beneran blum tau? Kalo Anies bukankah petugas partai Nasdem? : siapa presidennya? Anies...apa partainya? Nasdem. Ya, kaleee. Kalo Mahfud MD sih, non partai tapi sebelum lahir pun sudah Nahdliyin. Kalo blum tau, rajin2 baca bro. https://t.co/UzrEgZVO9v;0;0;0;0;in;1,22595E+18;1,71751E+18;Bentir16;https://twitter.com/Bentir16/status/1721755558393557487
Tue Nov 07 05:02:38 +0000 2023;1,72176E+18;Ini membahas lapangan hasil karya anak bangsa yg dibangun masa kepemimpinan mas @aniesbaswedan di DKI,   Buka  bahas @OldTraffordNews ,;0;0;0;0;in;1,44432E+18;1,72176E+18;choymarkochoy;https://twitter.com/choymarkochoy/status/1721755013746471308
Tue Nov 07 05:02:43 +0000 2023;1,72176E+18;HANYA GANJAR YANG KONSISTEN TOLAK ISRAEL DATANG KE INDONESIA #ganjarmahfud2024 #GanjarMahfud #jagademokrasi #paktelur #anakpresiden #ganjarpranowo #aniesbaswedan #cakimin #prabowo https://t.co/Zw4GQSsamu;0;0;0;0;in;1,53965E+18;1,72176E+18;Ketik_salah24;https://twitter.com/Ketik_salah24/status/1721755034290106622
Tue Nov 07 05:03:52 +0000 2023;1,72176E+18;@Tita83079013 Tapi aku ragu ketiga calon bahas ekonomi syariah melulu @ganjarpranowo @aniesbaswedan @prabowo tidak ada ekonomi kerakyatan Pancasila;0;0;0;0;in;1,57642E+18;1,72175E+18;AgustiniRahay12;https://twitter.com/AgustiniRahay12/status/1721755323600687457
Tue Nov 07 05:02:37 +0000 2023;1,72176E+18;@DPP_PKB @aniesbaswedan @cakimiNOW Bbm gratis jadi ???  Taik;0;0;0;0;in;7,94275E+17;1,72172E+18;PanjenSuwantai;https://twitter.com/PanjenSuwantai/status/1721755008323186721
Tue Nov 07 05:02:05 +0000 2023;1,72175E+18;dan mencekik para petani cilik. Butuh pemimpin yang mengerti kebutuhan wong cilik dan siap mensejahterakan mereka. Anies-Amin adalah jawabnnya. @aniesbaswedan @cakimiNOW #AniesMuhaimin2024 #AMINkanIndonesia;0;0;0;0;in;504006390;1,72175E+18;muhammadrobbah;https://twitter.com/muhammadrobbah/status/1721754876282319016
Tue Nov 07 05:00:25 +0000 2023;1,72175E+18;@STresnowat102 @aniesbaswedan @ch_chotimah2 @Miduk17 @Dennysiregar7 @ekokuntadhi1 Sifat plonga plongo... mukanya berubah seperti anaknya plonga plongo;0;0;0;0;in;1,07428E+18;1,72169E+18;Irwanto46705213;https://twitter.com/Irwanto46705213/status/1721754454096331107
Tue Nov 07 05:02:02 +0000 2023;1,72175E+18;@Tita83079013 @ganjarpranowo @aniesbaswedan saya golput istri kalian tidak mencerminkan nilai ke Indonesia an dan kalian pasti tidak mau membuka hubungan diplomatik dengan Israel apa lagi @ganjarpranowo nolak timnas Israel atau mungkin @gibran_tweet semoga bisa membuka hubungan diplomatik;0;0;0;0;in;1,57642E+18;1,72175E+18;AgustiniRahay12;https://twitter.com/AgustiniRahay12/status/1721754863271624722
Tue Nov 07 04:59:44 +0000 2023;1,72175E+18;Apresiasi dan terimakasih ysh pak @aniesbaswedan yang sudah memperjelas siapa sebenarnya yang mabok agama dg mengacak-ngacak agama lain. Siapa sebenarnya yang berpolitik menjual ayat dan mayat. Dan siapa sebenarnya bapak Politik identitas?;0;0;0;1;in;1,26526E+18;1,72175E+18;SetopKorupsi;https://twitter.com/SetopKorupsi/status/1721754285195866304
Tue Nov 07 04:59:23 +0000 2023;1,72175E+18;@sobat_anies @susipudjiastuti @aniesbaswedan @cakimiNOW Ayo pak;0;0;0;0;tl;1,1044E+18;1,72171E+18;Hexazor121;https://twitter.com/Hexazor121/status/1721754194401763517
Tue Nov 07 04:59:03 +0000 2023;1,72175E+18;@AgusYudhoyono @ajengcute16__ @PDemokrat Mantap   Demokrat partaiku @aniesbaswedan calon presiden ku..  2024 #PerubahanPerbaikan;0;0;0;0;in;110958319;1,72175E+18;veroaktivis;https://twitter.com/veroaktivis/status/1721754110142411016
Tue Nov 07 04:58:49 +0000 2023;1,72175E+18;Sulit untuk membandingkan antara mas @ganjarpranowo dengan pak @prabowo itu seperti membandingkan antara orangbyg biasa wudhu ke masjid dengan orang yg biasa jadi marbot masjid.  Maaf pak @aniesbaswedan saya gak sebut nama Anda!;0;0;0;0;in;83900013;1,72175E+18;dikrizal;https://twitter.com/dikrizal/status/1721754050927194276
Tue Nov 07 04:56:56 +0000 2023;1,72175E+18;@STresnowat102 @aniesbaswedan @ch_chotimah2 @Miduk17 @Dennysiregar7 @ekokuntadhi1 Tetap pilih pemimpin asli pribumi , no yaman. Ahok dirujak @aniesbaswedan pakai ayat dan mayat.👌 #BapakPolitikIdetiitas;0;1;0;0;in;1,5342E+18;1,72169E+18;Gr4sssss;https://twitter.com/Gr4sssss/status/1721753577344114805
Tue Nov 07 04:55:57 +0000 2023;1,72175E+18;@STresnowat102 @aniesbaswedan @ch_chotimah2 @Miduk17 @Dennysiregar7 @ekokuntadhi1 Provokator si ngahok;0;0;0;0;in;1,60363E+18;1,72169E+18;denihartono513;https://twitter.com/denihartono513/status/1721753332421939327
Tue Nov 07 04:54:33 +0000 2023;1,72175E+18;@VIVAcoid soale udah tahu duluan kalo jagoanya @aniesbaswedan pasti kalah makanya pura2 netral;0;0;0;0;in;1,13989E+18;1,72173E+18;marsudi_rebond;https://twitter.com/marsudi_rebond/status/1721752979274092806
Tue Nov 07 04:54:24 +0000 2023;1,72175E+18;Pantas Banyak Dipuji Dunia, JIS Ternyata Lebih Canggih dari SUGBK dan Stadion Manahan ⁦@aniesbaswedan⁩ ⁦@DKIJakarta⁩ ⁦@jakprogroup⁩ ⁦@PSSI⁩ ⁦@KEMENPORA_RI⁩  https://t.co/zRcKC0UsVS;0;0;0;0;in;134394816;1,72175E+18;boedysis;https://twitter.com/boedysis/status/1721752941093437620
Tue Nov 07 04:53:45 +0000 2023;1,72175E+18;Nih lihat,@03__nakula .@ch_chotimah2 .@DoankWarto .@AirinDatangLagi .@ekokuntadhi1 .@Giring_Ganesha .@Dennysiregar7 .@GunRomli .@ruhutsitompul yg dulu kalian hina kalian hujat waaaw karya.@aniesbaswedan memang top mendunia;0;0;0;0;in;1,68091E+18;1,72175E+18;123Yantobo72274;https://twitter.com/123Yantobo72274/status/1721752778236895356
Tue Nov 07 04:52:02 +0000 2023;1,72175E+18;@AlmaghribiS Lo tanya aja  langsung ke @aniesbaswedan;0;0;0;0;in;1,27394E+18;1,72144E+18;windrh1;https://twitter.com/windrh1/status/1721752345103724639
Tue Nov 07 04:50:30 +0000 2023;1,72175E+18;@LANGKAHANIES @aniesbaswedan @cakimiNOW @DPP_PKB Bpk ini setiap hari lwt di jln percetakan negara 4 dan ke pasar genjing ok pak kita sepakat Amin;0;0;0;1;in;1,04749E+18;1,72146E+18;usmanwarteg;https://twitter.com/usmanwarteg/status/1721751959496257604
Tue Nov 07 04:50:27 +0000 2023;1,72175E+18;@corsiva_a @DeHoutman_id @jokowi @aniesbaswedan @ganjarpranowo dukung prabowo jadi presiden palestin!1!1!1!;0;0;0;0;in;99040551;1,72155E+18;in_makiy;https://twitter.com/in_makiy/status/1721751947659862152
Tue Nov 07 04:49:26 +0000 2023;1,72175E+18;@siregar_najeges @JaprarahmanJ semoga Pak @aniesbaswedan selalu diberikan kesehatan.. Aamiin..;0;0;0;0;in;1,57637E+18;1,72169E+18;GiloMoh;https://twitter.com/GiloMoh/status/1721751690427433313
Tue Nov 07 04:47:29 +0000 2023;1,72175E+18;@DPP_PKB @aniesbaswedan @cakimiNOW Selalu dukung AMIN2024Presiden… amin;0;0;0;0;in;1,27854E+18;1,72172E+18;orisadam_;https://twitter.com/orisadam_/status/1721751199857455186
Tue Nov 07 04:47:26 +0000 2023;1,72175E+18;@STresnowat102 @Kobar_Baru @aniesbaswedan @ch_chotimah2 @Miduk17 @Dennysiregar7 @ekokuntadhi1 Maklum... Cipeng Kafir Congor isinya cuma Tai Tai tai, sesembahan para Bani kolam;0;0;0;0;in;268656116;1,72169E+18;eden_rmd;https://twitter.com/eden_rmd/status/1721751189023518842
Tue Nov 07 04:45:56 +0000 2023;1,72175E+18;@JokesBats @_MbakSri_ @syihabrizhieq @aniesbaswedan @fadlizon 🤣🤣🤣🤣🤣🤣;0;0;0;0;qme;1,62131E+18;1,72171E+18;kang_agoenk;https://twitter.com/kang_agoenk/status/1721750810391134313
Tue Nov 07 04:45:15 +0000 2023;1,72175E+18;@paradigmadidik @ORohman @msaid_didu @aniesbaswedan Anies cuma pidato dukung Palestina tp ga berani bicara nolak Israel dtg ke Indonesia.. eeh giliran Ganjar yg berani bicara dan nolak Israel dtg sampe pildun nya ga jadi malah di bully.... jd secara logika sederhana yg punya langkah konkrit dlm hal palestina &amp  Israel itu siapa? 🤣;0;0;0;0;in;3246153157;1,72141E+18;iday_karaoke;https://twitter.com/iday_karaoke/status/1721750638860943865
