created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Nov 07 04:56:57 +0000 2023;1721753582591238206;"Repost dari Bapak @hary_tanoe  https://t.co/APgz6uppgi…   #GanjarPranowo #MahfudMD #HaryTanoesoedibjo #TuanGuruBajang #AngelaTanoesoedibjo #JoniSupriyanto #AhmadRofiq #PartaiPerindo #UntukIndonesiaSejahtera";0;0;0;0;in;88593647;1721753582591238206;mnctrijaya;https://twitter.com/mnctrijaya/status/1721753582591238206
Tue Nov 07 04:56:18 +0000 2023;1721753419063685203;"Gaspol datang ke Pesta Rakyat Ganjar Pranowo yang berlangsung di Cilacap !! Berlangsung pada Jumat, 17 November 2023 #SahabatGanjar #GanjarPranowo #Ganjar #GenerasiGotongRoyong #GanjarPresiden #GanjarUntukSemua #GanjarMahfud2024 https://t.co/ocXNYqsMuo";0;0;0;0;in;2503761613;1721753419063685203;IDSahabatGanjar;https://twitter.com/IDSahabatGanjar/status/1721753419063685203
Tue Nov 07 04:56:16 +0000 2023;1721753412587405793;"Ratusan Pekerja Migran Indonesia (PMI) di kota Riyadh Saudi Arabia deklarasi dukung kepada calon Presiden @ganjarpranowo  dan calon Wakil Presiden @mohmahfudmd  pada Pemilu tahun 2024. @PDI_Perjuangan  https://t.co/j3E8NMlWUP @GunRomli";0;0;0;0;in;2723605698;1721753412587405793;pdip_sa;https://twitter.com/pdip_sa/status/1721753412587405793
Tue Nov 07 04:56:11 +0000 2023;1721753392203300867;"Pak Ganjar Pranowo memperlihatkan bahwa beliau memikirkan masa depan milenial @Shinejs20  Ganjar Presiden https://t.co/gfpj9NCt09";0;0;0;0;in;1686571456753553408;1721753392203300867;sekarknsh2_;https://twitter.com/sekarknsh2_/status/1721753392203300867
Tue Nov 07 04:56:07 +0000 2023;1721753371592561037;"Benarkah....??? Nyukkk, kita buktikan 2024 Ganjar Presiden. Mau liat seberapa dukungan masyarakat terhadap beliau lewat LIKE atau RETWEETnya postingan ini.......🤟🤟🤟✅ Met maksi tuk sahabat Ganjar dn seluruh Relawan Ganjar Pranowo.🙏❤🇮🇩🇮🇩🇮🇩 https://t.co/5AhUXVcOzZ";0;0;0;0;in;1605181161499947009;1721753371592561037;AlfatihDhany;https://twitter.com/AlfatihDhany/status/1721753371592561037
Tue Nov 07 04:55:09 +0000 2023;1721753131829301336;"Repost dari Bapak @hary_tanoe  https://t.co/CUdJEYAiDx  #GanjarPranowo #MahfudMD #HaryTanoesoedibjo #TuanGuruBajang #AngelaTanoesoedibjo #JoniSupriyanto #AhmadRofiq #PartaiPerindo #UntukIndonesiaSejahtera";0;0;0;0;in;231355136;1721753131829301336;SINDOnews;https://twitter.com/SINDOnews/status/1721753131829301336
Tue Nov 07 04:55:08 +0000 2023;1721753124921364879;"@PartaiSocmed @ganjarpranowo @susipudjiastuti semoga membawa oleh2 bantuan kapal untuk nelayan..";0;0;0;0;in;97907216;1721714244486623563;supersup_9;https://twitter.com/supersup_9/status/1721753124921364879
Tue Nov 07 04:55:08 +0000 2023;1721753127945441438;"Ganjar Pranowo menjadi orang paling depan dalam memajukan Produk-pruduk asli buatan anak Bangsa.  🔥🤟  #SahabatGanjar  #GanjarUntukSemua #GanjarMahfud2024 https://t.co/BJXBQir23Y";0;0;0;0;in;1260061504767836162;1721753127945441438;Dharma_tc;https://twitter.com/Dharma_tc/status/1721753127945441438
Tue Nov 07 04:55:01 +0000 2023;1721753095510835249;"Ganjar Pranowo menjadi orang paling depan dalam memajukan Produk-pruduk asli buatan anak Bangsa.   Ganjar Mahfud  #SahabatGanjar  #GanjarMahfud2024 https://t.co/mZT5jjXnyz";0;0;0;1;in;1092968340;1721753095510835249;RenaHoston178;https://twitter.com/RenaHoston178/status/1721753095510835249
Tue Nov 07 04:54:56 +0000 2023;1721753075466088482;"@dungu_kadrun @AdeSudr90969850 @muchlis_ar @ganjarpranowo @mohmahfudmd https://t.co/G94kuGNk41";0;0;0;0;qme;1543337185;1721020021315678620;Astrianov;https://twitter.com/Astrianov/status/1721753075466088482
Tue Nov 07 04:54:54 +0000 2023;1721753066784059804;"@daraja_amron @CNNIndonesia @ganjarpranowo Mereka pura2 buta";0;0;0;0;in;1686036509508714496;1721690075120169380;DahriWaeSaja;https://twitter.com/DahriWaeSaja/status/1721753066784059804
Tue Nov 07 04:54:36 +0000 2023;1721752992875942111;"@PartaiSocmed @ganjarpranowo @susipudjiastuti Semangat banget med🤣 Yg laen datang, ente ga segirang ini deh.💪";0;0;0;0;in;1459801664139907075;1721714244486623563;KanjengRomoBram;https://twitter.com/KanjengRomoBram/status/1721752992875942111
Tue Nov 07 04:54:31 +0000 2023;1721752969363050613;"Repost dari Bapak @hary_tanoe  https://t.co/hXAWdZxQAq  #GanjarPranowo #MahfudMD #HaryTanoesoedibjo #TuanGuruBajang #AngelaTanoesoedibjo #JoniSupriyanto #AhmadRofiq #PartaiPerindo #UntukIndonesiaSejahtera";0;0;0;0;in;47274731;1721752969363050613;okezonenews;https://twitter.com/okezonenews/status/1721752969363050613
Tue Nov 07 04:53:50 +0000 2023;1721752799690850556;"Terima kasih kepada Pak Ganjar Pranowo atas komitmennya untuk menjaga hak-hak para pekerja @lilygeuliss  Ganjar Presiden https://t.co/paGfdG3Q1E";0;0;0;0;in;1687291647120519168;1721752799690850556;aprizaric;https://twitter.com/aprizaric/status/1721752799690850556
Tue Nov 07 04:53:45 +0000 2023;1721752777121268046;"Ganjar Pranowo, calon presiden yang tidak hanya mendengar tapi bertindak untuk kepentingan rakyat @ahelaaaah  Ganjar Presiden https://t.co/uFfbbuRydx";0;0;0;0;in;1695020553680359424;1721752777121268046;nurhaayahsiti;https://twitter.com/nurhaayahsiti/status/1721752777121268046
Tue Nov 07 04:53:43 +0000 2023;1721752770968220148;"Mengembalikan tanah kepada pemiliknya adalah langkah yang adil dan tepat Ganjar Pranowo berkomitmen untuk melakukannya @savagepootato  Ganjar Presiden https://t.co/ZE9BivM7BT";0;0;0;0;in;1685901449203785728;1721752770968220148;gehsyana;https://twitter.com/gehsyana/status/1721752770968220148
Tue Nov 07 04:53:39 +0000 2023;1721752752693612749;"Dukungan untuk Ganjar Pranowo semakin bertambah karena keseriusannya dalam mengatasi masalah-masalah yang dihadapi masyarakat @wisnutk  Ganjar Presiden https://t.co/Ev1Or5bHVR";0;0;0;0;in;1695639025812684800;1721752752693612749;yantoostj;https://twitter.com/yantoostj/status/1721752752693612749
Tue Nov 07 04:53:36 +0000 2023;1721752741050298373;"Bersama Ganjar Pranowo, kita akan melihat perubahan positif dalam perekonomian Indonesia @Ily_haechannn  Ganjar Presiden https://t.co/OqJBUz2RJr";0;0;0;0;in;1686586356343222272;1721752741050298373;DamarBaska67335;https://twitter.com/DamarBaska67335/status/1721752741050298373
