created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Nov 07 03:56:09 +0000 2023;1,72174E+18;@Guard31Tony @adri_7i @AlmaghribiS @BANGSAygSUJUD @AndreasSolusi @bengkeldodo @P4P4B0W0_2024 @florieliciouss @DarekaRendy @Ndons_Back @tinggipasaribu @prabowo Tanyakan pejabat terkait dong kenapa policy nya lama ... Klo urusan geopolitik tentunya menhan terlibat dalam policy di Palestina, makanya sat set bras bres Itulah mengapa 2024 perlu pilih #PrabowoGibran sebab kerjanya nyat tanpa banyak kata;0;0;0;3;in;1,15245E+18;1,72168E+18;are_inismyname;https://twitter.com/are_inismyname/status/1721738284152525304
Tue Nov 07 03:55:16 +0000 2023;1,72174E+18;Emang Boleh Capres @prabowo Subianto , se GEMOY ini..😎  #Projo #Jokowi #Gibran #Prabowo #PrabowoGibran https://t.co/KfIRBG7nCb;0;0;4;10;in;8,72175E+17;1,72174E+18;RcyberProj0;https://twitter.com/RcyberProj0/status/1721738060407406596
Tue Nov 07 03:46:50 +0000 2023;1,72174E+18;Pak Prabowo jiwa komedinya kadang tak terbendung, pas pidato aja masih bisa bikin ngakak Pak Jokowi, haha..  #prabowo #gibran #prabowogibran #menangsatuputaran #mendingprabowo #terusmajubersamaprabowo #dekade08 #BersamaIndonesiaMaju #jokowi #hutgolkar59 https://t.co/IR0Zs0aM8s;1;0;3;14;in;1,57691E+18;1,72174E+18;dekade_08;https://twitter.com/dekade_08/status/1721735937884069899
Tue Nov 07 03:30:00 +0000 2023;1,72173E+18;Nurul Arifin Ungkap Tak Ada Agenda Politik Lain Di Acara Puncak HUT Ke-59 Partai Golkar #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/g0dleLWd8K;0;0;14;6;in;7,21898E+17;1,72173E+18;golkarpedia;https://twitter.com/golkarpedia/status/1721731702417162725
Tue Nov 07 03:27:37 +0000 2023;1,72173E+18;Momen Prabowo Bertemu Adiknya Ilham Habibie di Acara Ikatan Cendekiawan Muslim Indonesia. #prabowo #ilhamhabibie #prabowogibran #indonesia https://t.co/Jb8SS8ed13;0;0;0;0;in;1,60394E+18;1,72173E+18;dpc_badung;https://twitter.com/dpc_badung/status/1721731100484198723
Tue Nov 07 03:26:45 +0000 2023;1,72173E+18;ni prinsip yang selalu Prabowo tekankan kepada orang-orang disekitar  Mantapp!!  #mendingprabowo #dekade08 #terusmajubersamaprabowo #PrabowoPresiden2024 #koalisiindonesiamaju #prabowogibran #menangsatuputaran #tiktokberita #gerindra https://t.co/nzjxU4DCZY;0;0;0;0;in;1,60394E+18;1,72173E+18;dpc_badung;https://twitter.com/dpc_badung/status/1721730883013816775
Tue Nov 07 03:26:39 +0000 2023;1,72173E+18;"Ini yang Dilakukan Prabowo Ketika Diteriaki Presiden"" Saat Menghadiri Acara Silaturahmi Kerja Nasional ICMI. #prabowo #prabowogibran #indonesia #icmi https://t.co/wbhKkmi0rh""";0;0;0;0;in;1,60394E+18;1,72173E+18;dpc_badung;https://twitter.com/dpc_badung/status/1721730857952768340
Tue Nov 07 03:25:03 +0000 2023;1,72173E+18;Viral Nih!!! Satu pesan singkat, padat dan dalam dari Gibran kepada seluruh Tim Kampanye Nasional (TKN) Prabowo-Gibran!!!  #prabowo #prabowosubianto #gibran #gibranrakabuming #prabowogibran #prabowogibran2024 #indonesiamaju #bersamaindonesiamaju #dekade08 #terusmajubersamaprabowo https://t.co/HHtUIesP2n;0;0;0;0;in;1,60394E+18;1,72173E+18;dpc_badung;https://twitter.com/dpc_badung/status/1721730456205611268
Tue Nov 07 03:16:06 +0000 2023;1,72173E+18;"Prabowo Susun Masterplan"" untuk Kebangkitan Indonesia  Kesira, Sehatkan Indonesia Raya Sehatkan Indonesia Raya, Kesira!  #prabowogibran #prabowogibranmenang #2024prabowogibran #kesira #kesiragerindra #gerindrakesira #kesiraindonesia #kesirapeduli  https://t.co/cvdpaT8YUs""";0;0;0;1;in;1,62717E+18;1,72173E+18;kesiragerindra;https://twitter.com/kesiragerindra/status/1721728202111156471
Tue Nov 07 03:13:07 +0000 2023;1,72173E+18;🪒 *Dicap ‘Pembangkang’, PDIP Minta Gibran Datang Tampak Muka, Pulang Tampak Punggung*  https://t.co/W3TFe3ipBj  SudahSaatnya MudaBerkarya KitaGolkar MenangkanPagi  #partaigolkar #prabowogibran #golkarprabowo #golkarpedia #gibranmasukgolkar;0;1;0;0;in;1,65949E+18;1,72173E+18;RakyatMenilai_;https://twitter.com/RakyatMenilai_/status/1721727454530961580
